Problem name,Problem Link,Topic,Difficulty,Skill,Platform
The Lead Game,https://www.codechef.com/problems/TLG,Arrays,Easy,Basic,Codechef
Counting Pretty Numbers,https://www.codechef.com/problems/NUM239,Arrays,Easy,Basic,Codechef
Difficulty Rating Order,https://www.codechef.com/problems/RATINGINPRAC,Arrays,Easy,Basic,Codechef
"Red Light, Green Light",https://www.codechef.com/problems/DOLL,Arrays,Easy,Basic,Codechef
Chef and Dolls,https://www.codechef.com/problems/MISSP,Arrays,Easy,Basic,Codechef
That Is My Score!,https://www.codechef.com/problems/WATSCORE,Arrays,Easy,Basic,Codechef
Mathison and pangrams,https://www.codechef.com/problems/MATPAN,Arrays,Medium,Intermediate,Codechef
Dominant Element,https://www.codechef.com/problems/DOMINANT2,Arrays,Medium,Intermediate,Codechef
Broken Telephone,https://www.codechef.com/problems/BROKPHON,Arrays,Medium,Intermediate,Codechef
Chef and digits of a number,https://www.codechef.com/problems/LONGSEQ,Arrays,Medium,Intermediate,Codechef
XOR maximum-minimum matrices,https://www.codechef.com/problems/MAXXMIN,Arrays,Hard,Advanced,Codechef
Matrix Permutations,https://www.codechef.com/problems/MATPERM,Arrays,Hard,Advanced,Codechef
Wordle,https://www.codechef.com/problems/WORDLE,Strings,Easy,Basic,Codechef
The Block Game,https://www.codechef.com/problems/PALL01,Strings,Easy,Basic,Codechef
Compress the Video,https://www.codechef.com/problems/COMPRESSVD,Strings,Easy,Basic,Codechef
Rearranging digits to get a multiple of 5,https://www.codechef.com/problems/DIGARR,Strings,Easy,Intermediate,Codechef
Penalty Shoot-out,https://www.codechef.com/problems/CPLAY,Strings,Easy,Intermediate,Codechef
Different String,https://www.codechef.com/problems/DIFSTR,Strings,Medium,Intermediate,Codechef
Let us construct palindrome,https://www.codechef.com/problems/PRPALN,Strings,Medium,Intermediate,Codechef
Stamps 100,https://www.codechef.com/problems/S100,Strings,Medium,Intermediate,Codechef
Valleys and Hills,https://www.codechef.com/problems/VANDH,Strings,Medium,Intermediate,Codechef
A String Game,https://www.codechef.com/problems/ASTRGAME,Strings,Medium,Intermediate,Codechef
Vowel Anxiety,https://www.codechef.com/problems/VOWANX,Strings,Medium,Intermediate,Codechef
Binary Mismatch,https://www.codechef.com/problems/BINMIS,Strings,Medium,Intermediate,Codechef
Fibonacci String,https://www.codechef.com/problems/CLFIBD,Strings,Medium,Intermediate,Codechef
Chef Hates Palindromes,https://www.codechef.com/problems/CHEFHPAL,Strings,Medium,Advanced,Codechef
Count Substrings,https://www.codechef.com/problems/SUBCOUNT,Strings,Hard,Advanced,Codechef
Greedy,https://www.codechef.com/problems/LASTRBS,Strings,Hard,Advanced,Codechef
Trees and Subtrees,https://www.codechef.com/problems/TRSUBTR,Strings,Hard,Advanced,Codechef
Sed Passwords,https://www.codechef.com/problems/SEDPASS,Strings,Hard,Advanced,Codechef
Lucy and the Flowers,https://www.codechef.com/problems/DECORATE,Strings,Hard,Advanced,Codechef
Simple Editor,https://www.codechef.com/problems/TAEDITOR,Strings,Hard,Advanced,Codechef
Audible Range,https://www.codechef.com/problems/AUDIBLE,Math,Easy,Basic,Codechef
Tax in Chefland,https://www.codechef.com/problems/TAXES,Math,Easy,Basic,Codechef
Determine the Score,https://www.codechef.com/problems/DETSCORE,Math,Easy,Basic,Codechef
Fitness,https://www.codechef.com/problems/FIT,Math,Easy,Basic,Codechef
Saving Taxes,https://www.codechef.com/problems/TAXSAVING,Math,Easy,Basic,Codechef
One Stone or Two Stones,https://www.codechef.com/problems/ONEORTWO,Math,Easy,Intermediate,Codechef
Chef and Ridges,https://www.codechef.com/problems/PRDRG,Math,Easy,Intermediate,Codechef
Car-pal Tunnel,https://www.codechef.com/problems/CARPTUN,Math,Medium,Intermediate,Codechef
Sum Product Segments,https://www.codechef.com/problems/SUMPRODSEG,Math,Medium,Intermediate,Codechef
OR Tuples,https://www.codechef.com/problems/ORTUPLES,Math,Medium,Intermediate,Codechef
Mystical Numbers,https://www.codechef.com/problems/XORGAND,Math,Medium,Advanced,Codechef
Average Gift,https://www.codechef.com/problems/AVGGIFT,Math,Medium,Advanced,Codechef
Guess the Tiling,https://www.codechef.com/problems/TILESQRS,Math,Hard,Advanced,Codechef
